idx,Name,Recommend Name 0,Recommend Name 1,Recommend Name 2,Recommend Name 3,Recommend Name 4,Recommend Name 5,Recommend Name 6,Recommend Name 7,Recommend Name 8,Recommend Name 9,Recommend PCA Distances 0,Recommend PCA Distances 1,Recommend PCA Distances 2,Recommend PCA Distances 3,Recommend PCA Distances 4,Recommend PCA Distances 5,Recommend PCA Distances 6,Recommend PCA Distances 7,Recommend PCA Distances 8,Recommend PCA Distances 9,Recommend Genres 0,Recommend Genres 1,Recommend Genres 2,Recommend Genres 3,Recommend Genres 4,Recommend Genres 5,Recommend Genres 6,Recommend Genres 7,Recommend Genres 8,Recommend Genres 9,Recommend Rating 0,Recommend Rating 1,Recommend Rating 2,Recommend Rating 3,Recommend Rating 4,Recommend Rating 5,Recommend Rating 6,Recommend Rating 7,Recommend Rating 8,Recommend Rating 9,Predicted Rating,Actual Rating
135,The Wolfman,The 13th Warrior,Land of the Lost,Final Fantasy: The Spirits Within,Sky Captain and the World of Tomorrow,Inkheart,Deep Blue Sea,Mars Needs Moms,Collateral Damage,Volcano,The Rundown,0.018621812082304956,0.020177974675230415,0.0204827551001453,0.02348994230413315,0.0273975295263581,0.028295631018641076,0.02895379930139974,0.02950594721907096,0.03186282663682882,0.03507326382097942,"'Adventure','Fantasy','Action'","'Adventure','Comedy','ScienceFiction'","'Adventure','Action','Animation','Fantasy','ScienceFiction','Thriller'","'Mystery','Action','Thriller','ScienceFiction','Adventure'","'Adventure','Family','Fantasy'","'Action','ScienceFiction','Thriller'","'Adventure','Animation','Family'","'Action','Thriller','Drama'","'ScienceFiction','Action','Drama','Thriller'","'Adventure','Action','Comedy','Thriller'",6.4,5.3,5.9,5.7,6.0,5.6,5.5,5.5,5.2,6.4,5.75,5.5
136,Bee Movie,Monsters vs Aliens,Rush Hour 3,Stuart Little,Bedtime Stories,A Christmas Carol,Turbo,G-Force,Wrath of the Titans,Mr. Peabody & Sherman,Chicken Little,0.0068954466534222325,0.008094490208805483,0.011191578511774769,0.014065565868352503,0.014612536244027363,0.016999247563217135,0.0170174160506551,0.017237118512700822,0.017238154126050675,0.021169420437119335,"'Animation','Family','Adventure','ScienceFiction'","'Action','Comedy','Crime','Thriller'","'Animation','Fantasy','Family','Comedy'","'Fantasy','Comedy','Family','Romance'","'Animation','Drama'","'Animation','Family'","'Fantasy','Action','Adventure','Family','Comedy'",'Adventure',"'Animation','Adventure','Family'","'Animation','Family','Comedy'",6.0,6.1,5.8,5.9,6.6,6.1,5.1,5.5,6.7,5.6,5.94,5.7
137,Kung Fu Panda 2,Madagascar: Escape 2 Africa,Shrek Forever After,Madagascar 3: Europe's Most Wanted,Shrek the Third,Kung Fu Panda 3,Rio 2,The Croods,Rush Hour 2,Enchanted,Happy Feet,0.0034415137158448905,0.004547193495942015,0.00528670537741216,0.007264475988943753,0.009555559528296231,0.013900697024249009,0.014560895320364642,0.017354632958972438,0.017606897818260858,0.01814560200472093,"'Family','Animation'","'Comedy','Adventure','Fantasy','Animation','Family'","'Animation','Family'","'Fantasy','Adventure','Animation','Comedy','Family'","'Action','Adventure','Animation','Comedy','Family'","'Animation','Adventure','Comedy','Family'","'Adventure','Animation','Comedy','Family','Fantasy'","'Action','Comedy','Crime','Thriller'","'Comedy','Family','Fantasy','Romance'","'Animation','Comedy'",6.2,6.0,6.4,6.0,6.7,6.3,6.8,6.4,6.6,5.9,6.33,6.7
138,The Last Airbender,Charlie's Angels: Full Throttle,Eragon,Wrath of the Titans,The Golden Compass,Monsters vs Aliens,Bee Movie,Teenage Mutant Ninja Turtles: Out of the Shadows,Wild Wild West,Hollow Man,Turbo,0.002295340235481391,0.0057496204394189565,0.014580885365653051,0.01910062570906168,0.019747768247113884,0.022614516188757205,0.025133608554874454,0.025646938802114105,0.027445947878236066,0.03105405372157155,"'Action','Adventure','Comedy'","'Fantasy','Action','Adventure','Family'",'Adventure',"'Adventure','Fantasy'","'Animation','Family','Adventure','ScienceFiction'","'Family','Animation','Adventure','Comedy'","'Fantasy','Action','Adventure','Comedy'","'Action','Adventure','Comedy','ScienceFiction','Western'","'Action','ScienceFiction','Thriller'","'Animation','Family'",5.2,4.9,5.5,5.8,6.0,5.7,5.8,5.1,5.6,6.1,5.57,4.7
139,Mission: Impossible III,Warcraft,Pirates of the Caribbean: On Stranger Tides,Safe House,Pirates of the Caribbean: At World's End,TRON: Legacy,Just Go with It,Angels & Demons,Spider-Man 3,Con Air,Gone in Sixty Seconds,0.001970719247300301,0.006065259620742669,0.006192552418877173,0.007787993885353117,0.008751529165173522,0.010206222326655134,0.010345138338644255,0.011025424684252938,0.011289039894129327,0.01182524296711418,"'Action','Adventure','Fantasy'","'Adventure','Action','Fantasy'","'Action','Thriller'","'Adventure','Fantasy','Action'","'Adventure','Action','ScienceFiction'","'Romance','Comedy'","'Thriller','Mystery'","'Fantasy','Action','Adventure'","'Action','Thriller','Crime'","'Action','Crime','Thriller'",6.3,6.4,6.3,6.9,6.3,6.3,6.5,5.9,6.5,6.1,6.35,6.5
140,White House Down,The Island,Hugo,The Chronicles of Riddick,John Carter,Battleship,Robin Hood,The Chronicles of Narnia: Prince Caspian,Hulk,Superman Returns,The Lone Ranger,0.010863698596833116,0.010874648340985393,0.012920959622393369,0.016078867425218912,0.017440879205724125,0.01823733313906728,0.022556510852508538,0.025694746887422237,0.02583824125135159,0.028124786438595062,"'Action','Thriller','ScienceFiction','Adventure'","'Adventure','Drama','Family'","'Action','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Thriller','Action','Adventure','ScienceFiction'","'Action','Adventure'","'Adventure','Family','Fantasy'","'Drama','Action','ScienceFiction'","'Adventure','Fantasy','Action','ScienceFiction'","'Action','Adventure','Western'",6.5,7.0,6.3,6.1,5.5,6.2,6.3,5.3,5.4,5.9,6.049999999999999,6.4
141,Mars Needs Moms,Righteous Kill,Land of the Lost,Flushed Away,The Stepford Wives,Babe: Pig in the City,The Invasion,The Wolfman,Snake Eyes,Zathura: A Space Adventure,Tango & Cash,0.018687678231698923,0.018738668081657583,0.025034275052530974,0.025913938622848742,0.026634079036345626,0.02730090788543882,0.02895379930139974,0.03218648572941729,0.032418769761504596,0.0340532888852757,"'Action','Crime','Drama','Thriller'","'Adventure','Comedy','ScienceFiction'","'Adventure','Animation','Comedy','Family'","'Action','Comedy','ScienceFiction'","'Adventure','Comedy','Drama','Family','Fantasy'","'ScienceFiction','Thriller'","'Drama','Horror','Thriller'","'Crime','Mystery'","'Family','Fantasy','ScienceFiction','Adventure'","'Action','Adventure','Comedy'",5.9,5.3,6.0,5.4,5.2,5.7,5.5,5.8,6.1,6.1,5.7,5.5
142,Flushed Away,Killers,Arthur et les Minimoys,Mars Needs Moms,Zathura: A Space Adventure,The 13th Warrior,The Time Machine,Evan Almighty,Where the Wild Things Are,R.I.P.D.,The Wolfman,0.018566213873356663,0.02021648013795263,0.025034275052530974,0.028110870288070133,0.03553351801128479,0.03698086045557092,0.03830110310581225,0.040018934860096,0.040908845367358726,0.04231973180674298,"'Action','Comedy','Thriller','Romance'","'Adventure','Fantasy','Animation','Family'","'Adventure','Animation','Family'","'Family','Fantasy','ScienceFiction','Adventure'","'Adventure','Fantasy','Action'","'ScienceFiction','Adventure','Action'","'Fantasy','Comedy','Family'","'Family','Fantasy'","'Fantasy','Action','Comedy','Crime'","'Drama','Horror','Thriller'",5.7,6.0,5.5,6.1,6.4,5.8,5.3,6.4,5.4,5.5,5.809999999999999,6.0
143,Pan,47 Ronin,The Taking of Pelham 1 2 3,Point Break,The BFG,Pompeii,Wild Wild West,Green Zone,The Sorcerer's Apprentice,John Carter,The Three Musketeers,0.010433470233244369,0.01541632973565632,0.016341723081325865,0.01698074838436814,0.019532602486843076,0.022154351725316435,0.023871384912324656,0.030756173966348888,0.0326700096408814,0.03353693271896285,"'Drama','Action','Adventure','Fantasy'","'Thriller','Drama','Crime'","'Action','Crime','Thriller'","'Adventure','Family','Fantasy'","'Action','Adventure','History','Romance','Drama'","'Action','Adventure','Comedy','ScienceFiction','Western'","'War','Action','Adventure','Drama','Thriller'","'Fantasy','Adventure','Action','Comedy','Drama'","'Action','Adventure','ScienceFiction'","'Adventure','Action','Thriller'",5.9,6.2,5.5,6.0,5.2,5.1,6.4,5.8,6.1,5.6,5.779999999999999,5.9
144,Mr. Peabody & Sherman,A Christmas Carol,Turbo,Pete's Dragon,Analyze This,Rush Hour 3,Monsters vs Aliens,Bee Movie,The Good Dinosaur,The Polar Express,Chicken Little,0.007938180391725003,0.010451481020596787,0.013589406806020055,0.015072237152496948,0.01598260055600209,0.017211016150966874,0.017238154126050675,0.017701709351261696,0.017806875478466933,0.02148458010102572,"'Animation','Drama'","'Animation','Family'","'Adventure','Family','Fantasy'","'Comedy','Crime'","'Action','Comedy','Crime','Thriller'","'Animation','Family','Adventure','ScienceFiction'","'Family','Animation','Adventure','Comedy'","'Adventure','Animation','Family'","'Adventure','Animation','Family','Fantasy'","'Animation','Family','Comedy'",6.6,6.1,6.2,6.4,6.1,6.0,5.7,6.6,6.4,5.6,6.17,6.7
145,Troy,Enemy of the State,The Last Samurai,King Kong,Noah,Valkyrie,Angels & Demons,Armageddon,National Treasure,Live Free or Die Hard,Face/Off,0.00842684771125668,0.008474625655083723,0.012092027474669642,0.013394622165033732,0.013488164662213031,0.014811687954433106,0.015272379614015508,0.01878047183275311,0.020427309572512264,0.021085560049514118,"'Action','Drama','Thriller'","'Drama','Action','War','History'","'Adventure','Drama','Action'","'Drama','Adventure'","'Drama','Thriller','History','War'","'Thriller','Mystery'","'Action','Thriller','ScienceFiction','Adventure'","'Adventure','Action','Thriller','Mystery'","'Action','Thriller'","'Action','Crime','ScienceFiction','Thriller'",6.7,7.3,6.6,5.6,6.7,6.5,6.4,6.4,6.4,6.8,6.540000000000001,6.9
146,Madagascar 3: Europe's Most Wanted,Shrek the Third,Shrek Forever After,Kung Fu Panda 2,Rio 2,The Smurfs,Madagascar: Escape 2 Africa,Shrek 2,The Village,Enchanted,Journey 2: The Mysterious Island,0.0024686006961985862,0.0032433115805715618,0.00528670537741216,0.008404979791416411,0.01010271726857781,0.010685396303628192,0.011199976431574887,0.012873123677093257,0.020819937706746616,0.021972872576446423,"'Fantasy','Adventure','Animation','Comedy','Family'","'Comedy','Adventure','Fantasy','Animation','Family'","'Animation','Family'","'Animation','Adventure','Comedy','Family'","'Animation','Family','Adventure','Comedy','Fantasy'","'Family','Animation'","'Adventure','Animation','Comedy','Family','Fantasy'","'Drama','Mystery','Thriller'","'Comedy','Family','Fantasy','Romance'","'Adventure','Action','ScienceFiction'",6.0,6.0,6.7,6.3,5.5,6.2,6.7,6.2,6.6,5.8,6.200000000000001,6.4
147,Die Another Day,Tomorrow Never Dies,The World Is Not Enough,Air Force One,Beowulf,Planet of the Apes,Batman Forever,Immortals,True Lies,Mission: Impossible III,You've Got Mail,0.00583587168797528,0.009479755849243765,0.012461453855108107,0.01726666627710227,0.017271138383794238,0.025140577585084034,0.026778007882107158,0.028646537990591914,0.02947747462001149,0.029890832324905414,"'Adventure','Action','Thriller'","'Adventure','Action','Thriller'","'Action','Thriller'","'Adventure','Action','Animation'","'Thriller','ScienceFiction','Action','Adventure'","'Action','Crime','Fantasy'","'Fantasy','Action','Drama'","'Action','Thriller'","'Adventure','Action','Thriller'","'Comedy','Romance'",6.0,6.0,6.2,5.5,5.6,5.2,5.7,6.8,6.5,6.3,5.9799999999999995,5.8
148,Ghostbusters,Jupiter Ascending,Ghost Rider,The Huntsman: Winter's War,Alien: Resurrection,Dark Shadows,Terminator Salvation,Lara Croft Tomb Raider: The Cradle of Life,Percy Jackson: Sea of Monsters,The Last Witch Hunter,The League of Extraordinary Gentlemen,0.009923891553972775,0.01030079443819154,0.011031767555407357,0.012192949635212447,0.013605775400640119,0.014278000381276579,0.014801609147531147,0.01774814825827653,0.018330081166301415,0.01891340643482864,"'ScienceFiction','Fantasy','Action','Adventure'","'Thriller','Action','Fantasy','Horror'","'Action','Adventure','Drama'","'ScienceFiction','Horror','Action'","'Comedy','Fantasy'","'Action','ScienceFiction','Thriller'","'Action','Adventure','Fantasy','Thriller'","'Adventure','Family','Fantasy'","'Fantasy','Action','Adventure'","'Fantasy','Action','Thriller','ScienceFiction'",5.2,5.2,6.0,5.9,5.7,5.9,5.5,5.9,5.7,5.7,5.67,5.3
149,Armageddon,Live Free or Die Hard,The Mummy Returns,The Hobbit: The Desolation of Smaug,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",National Treasure,The Last Samurai,Troy,Die Hard: With a Vengeance,xXx,Ocean's Thirteen,0.009671362542457596,0.011625010568274696,0.012038763030833288,0.013885319601109503,0.014234227382083131,0.015001076934317403,0.015272379614015508,0.016524628649954187,0.017560319183546613,0.01885764464336326,"'Action','Thriller'","'Adventure','Action','Fantasy'","'Adventure','Fantasy'","'Adventure','Family','Fantasy'","'Adventure','Action','Thriller','Mystery'","'Drama','Action','War','History'","'Adventure','Drama','War'","'Action','Thriller'","'Action','Adventure','Thriller'","'Crime','Thriller'",6.4,6.0,7.6,6.7,6.4,7.3,6.9,6.9,5.8,6.5,6.65,6.4
150,Men in Black II,300: Rise of an Empire,Brave,A Bug's Life,Due Date,This Means War,Yes Man,Maleficent,Salt,4: Rise of the Silver Surfer,Megamind,0.006289520247253821,0.008270117879020655,0.011170104619418142,0.014071318222254159,0.016509527271925895,0.016811725268896627,0.02011910826740837,0.0237843339229461,0.024251713779418038,0.024436790217733373,"'Action','War'","'Animation','Adventure','Comedy','Family','Action','Fantasy'","'Adventure','Animation','Comedy','Family'","'Comedy','Drama'","'Action','Comedy','Romance'",'Comedy',"'Fantasy','Adventure','Action','Family','Romance'","'Action','Mystery','Thriller'","'Adventure','Fantasy','Action','Thriller'","'Animation','Action','Comedy','Family','ScienceFiction'",6.1,6.7,6.8,6.2,5.9,6.4,7.0,6.2,5.4,6.7,6.340000000000001,6.0
151,Beowulf,Die Another Day,You Don't Mess with the Zohan,Immortals,Batman Forever,Tomorrow Never Dies,Planet of the Apes,The Mummy: Tomb of the Dragon Emperor,Batman & Robin,The World Is Not Enough,Couples Retreat,0.01726666627710227,0.01896154933378824,0.019232742314156726,0.019901457278533097,0.023285235842227747,0.023681622832124605,0.025220539302961864,0.029609979453266266,0.030748174268132256,0.03965009685283527,"'Adventure','Action','Thriller'","'Comedy','Action'","'Fantasy','Action','Drama'","'Action','Crime','Fantasy'","'Adventure','Action','Thriller'","'Thriller','ScienceFiction','Action','Adventure'","'Adventure','Action','Fantasy'","'Action','Crime','Fantasy'","'Adventure','Action','Thriller'","'Comedy','Romance'",5.8,5.5,5.7,5.2,6.0,5.6,5.2,4.2,6.0,5.3,5.45,5.5
152,Kung Fu Panda 3,Kung Fu Panda 2,Madagascar: Escape 2 Africa,How the Grinch Stole Christmas,Epic,The Croods,Home,Shrek Forever After,Happy Feet,Cloudy with a Chance of Meatballs 2,Rush Hour 2,0.009555559528296231,0.010478848049833567,0.01428941308324383,0.015777744712999753,0.015966993405490126,0.01890266451350875,0.019849160910748842,0.020080159996201608,0.02212795844496329,0.022477751891980757,"'Animation','Family'","'Family','Animation'","'Family','Comedy','Fantasy'","'Animation','Adventure','Family','Fantasy'","'Adventure','Animation','Comedy','Family','Fantasy'","'Fantasy','Comedy','Animation','ScienceFiction','Family'","'Comedy','Adventure','Fantasy','Animation','Family'","'Animation','Comedy'","'Animation','Family','Comedy'","'Action','Comedy','Crime','Thriller'",6.7,6.2,6.2,6.4,6.8,6.8,6.0,5.9,6.4,6.4,6.379999999999999,6.7
153,Mission: Impossible - Ghost Protocol,Avengers: Age of Ultron,The Matrix Reloaded,Mr. & Mrs. Smith,Pirates of the Caribbean: Dead Man's Chest,Ocean's Thirteen,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Casino Royale,Harry Potter and the Goblet of Fire,Skyfall,0.004414962957874802,0.0053375863824678405,0.008036760328934855,0.009079445705286737,0.009153135991870176,0.010213123248405176,0.010517866466531633,0.011271130954177422,0.011305932558519083,0.011840042529404848,"'Action','Adventure','ScienceFiction'","'Adventure','Action','Thriller','ScienceFiction'","'Action','Comedy','Drama','Thriller'","'Adventure','Fantasy','Action'","'Crime','Thriller'","'Adventure','Fantasy','Family','Mystery'","'Adventure','Fantasy','Family'","'Adventure','Action','Thriller'","'Adventure','Fantasy','Family'","'Action','Adventure','Thriller'",7.3,6.7,6.5,7.0,6.5,7.4,7.4,7.3,7.5,6.9,7.05,6.8
154,Rise of the Guardians,Megamind,Home,The Good Dinosaur,Tropic Thunder,The Princess and the Frog,Bolt,Atlantis: The Lost Empire,Salt,Cloudy with a Chance of Meatballs,Terminator 3: Rise of the Machines,0.008158168530911003,0.01357829847318004,0.015485200534571919,0.016835378271276458,0.02042701307511252,0.021021793570340397,0.021331841881056635,0.022014536065979695,0.02335401965261874,0.023516161739976726,"'Animation','Action','Comedy','Family','ScienceFiction'","'Fantasy','Comedy','Animation','ScienceFiction','Family'","'Adventure','Animation','Family'","'Action','Comedy'","'Romance','Family','Animation','Music'","'Animation','Family','Adventure','Comedy'","'Animation','Family','Adventure','ScienceFiction'","'Action','Mystery','Thriller'","'Animation','Comedy','Family'","'Action','Thriller','ScienceFiction'",6.7,6.8,6.6,6.5,6.7,6.3,6.7,6.2,6.5,5.9,6.49,7.1
155,Fun with Dick and Jane,Stuart Little,The Spiderwick Chronicles,G-Force,Rush Hour 3,Gulliver's Travels,The Time Machine,Chicken Little,Dinosaur,Stuart Little 2,Bee Movie,0.00898801016450057,0.011341773374472175,0.01147315339622157,0.012655312586336787,0.01727486764656616,0.01976279816101012,0.020319483207219213,0.02038730058831162,0.022010253069804198,0.02231174177274431,"'Animation','Fantasy','Family','Comedy'","'Adventure','Family','Fantasy'","'Fantasy','Action','Adventure','Family','Comedy'","'Action','Comedy','Crime','Thriller'",'Comedy',"'ScienceFiction','Adventure','Action'","'Animation','Family','Comedy'","'Animation','Family'","'Family','Adventure','Animation','Comedy'","'Family','Animation','Adventure','Comedy'",5.8,6.3,5.1,6.1,4.9,5.8,5.6,6.2,5.4,5.7,5.6899999999999995,5.9
156,The Last Samurai,Enemy of the State,Troy,True Lies,King Kong,Armageddon,Valkyrie,The Mask of Zorro,How to Lose a Guy in 10 Days,Face/Off,Live Free or Die Hard,0.004952421821369124,0.008474625655083723,0.009802860723776674,0.011627751918390605,0.015001076934317403,0.01702814946830955,0.017755128422726307,0.023278461806626405,0.0237427338478694,0.03030950669367294,"'Action','Drama','Thriller'","'Adventure','Drama','War'","'Action','Thriller'","'Adventure','Drama','Action'","'Action','Thriller','ScienceFiction','Adventure'","'Drama','Thriller','History','War'","'Action','Adventure'","'Comedy','Romance'","'Action','Crime','ScienceFiction','Thriller'","'Action','Thriller'",6.7,6.9,6.8,6.6,6.4,6.7,6.3,6.3,6.8,6.4,6.589999999999999,7.3
157,Exodus: Gods and Kings,Blade: Trinity,The Expendables 3,"Me, Myself & Irene",Hellboy II: The Golden Army,Need for Speed,Eagle Eye,The Monuments Men,Allegiant,Lara Croft Tomb Raider: The Cradle of Life,Starship Troopers,0.009055232019195336,0.016992451374185147,0.01879379165166939,0.027704678763063262,0.03223019817190931,0.034095663858620284,0.0367042632629182,0.03738830504627566,0.03921420606924508,0.04207419515363775,"'ScienceFiction','Action','Horror','Thriller','Adventure','Fantasy'","'Action','Adventure','Thriller'",'Comedy',"'Adventure','Fantasy','ScienceFiction'","'Action','Crime','Drama','Thriller'","'Mystery','Thriller','Action'","'War','Drama','History','Action'","'Adventure','ScienceFiction'","'Action','Adventure','Fantasy','Thriller'","'Adventure','Action','Thriller','ScienceFiction'",5.7,6.1,6.1,6.5,6.1,6.3,5.8,5.9,5.5,6.7,6.069999999999999,5.6
158,Star Trek,Sherlock Holmes: A Game of Shadows,Man of Steel,Star Trek Into Darkness,Edge of Tomorrow,World War Z,Pacific Rim,Iron Man 2,Prometheus,X-Men: Days of Future Past,Elysium,0.008260884408536784,0.008648624800430715,0.009499451781621149,0.011041829709441786,0.011954085615053733,0.013181001891173993,0.014623755738638167,0.014717258274561607,0.015157236815624087,0.01641419286285939,"'Adventure','Action','Crime','Mystery'","'Action','Adventure','Fantasy','ScienceFiction'","'Action','Adventure','ScienceFiction'","'Action','ScienceFiction'","'Action','Drama','Horror','ScienceFiction','Thriller'","'Action','ScienceFiction','Adventure'","'Adventure','Action','ScienceFiction'","'ScienceFiction','Adventure','Mystery'","'Action','Adventure','Fantasy','ScienceFiction'","'ScienceFiction','Action','Drama','Thriller'",7.0,6.5,7.4,7.6,6.7,6.7,6.6,6.3,7.5,6.4,6.87,7.4
159,Spider-Man,Skyfall,Harry Potter and the Order of the Phoenix,The Avengers,Iron Man 3,Harry Potter and the Prisoner of Azkaban,The Bourne Ultimatum,Ocean's Eleven,American Reunion,Mission: Impossible - Ghost Protocol,Mr. & Mrs. Smith,0.004838755213521617,0.00615295091727619,0.007515713556903503,0.009278674677102083,0.012581005143768476,0.01305306419780583,0.01375112493200592,0.013771613744412714,0.014000241199759622,0.016015604459175048,"'Action','Adventure','Thriller'","'Adventure','Fantasy','Family','Mystery'","'ScienceFiction','Action','Adventure'","'Action','Adventure','ScienceFiction'","'Adventure','Fantasy','Family'","'Action','Drama','Mystery','Thriller'","'Thriller','Crime'",'Comedy',"'Action','Thriller','Adventure'","'Action','Comedy','Drama','Thriller'",6.9,7.4,7.4,6.8,7.7,7.3,7.2,6.1,6.8,6.5,7.01,6.8
160,How to Train Your Dragon 2,Maleficent,Kung Fu Panda,Monsters University,300: Rise of an Empire,Yes Man,The Croods,A Bug's Life,Thor: The Dark World,Cinderella,Mission: Impossible - Rogue Nation,0.007315842987297261,0.012237093164332857,0.017120526988387508,0.020907936086270174,0.02112712363939573,0.02140518544345904,0.02183388869856251,0.021913700872047914,0.023746143609903014,0.024479034089787355,"'Fantasy','Adventure','Action','Family','Romance'","'Adventure','Animation','Family','Comedy'","'Animation','Family'","'Action','War'",'Comedy',"'Adventure','Animation','Comedy','Family','Fantasy'","'Adventure','Animation','Comedy','Family'","'Action','Adventure','Fantasy'","'Romance','Fantasy','Family','Drama'","'Action','Adventure','Thriller'",7.0,6.9,7.0,6.1,6.4,6.8,6.8,6.8,6.7,7.1,6.76,7.6
161,Gods of Egypt,The Brothers Grimm,S.W.A.T.,Battleship,The BFG,The Three Musketeers,Deep Impact,Point Break,Superman Returns,47 Ronin,Waterworld,0.005588604967791566,0.00908516775287127,0.01920410132340611,0.020603614728683883,0.02181826445333479,0.022708140537315402,0.028700414128196128,0.031121444460544434,0.03252319842537921,0.032696602883091286,"'Adventure','Fantasy','Action','Comedy','Thriller'","'Action','Thriller','Crime'","'Thriller','Action','Adventure','ScienceFiction'","'Adventure','Family','Fantasy'","'Adventure','Action','Thriller'","'Action','Drama','Romance'","'Action','Crime','Thriller'","'Adventure','Fantasy','Action','ScienceFiction'","'Drama','Action','Adventure','Fantasy'","'Adventure','Action'",5.6,5.8,5.5,6.0,5.6,5.9,5.5,5.4,5.9,5.9,5.709999999999999,5.3
162,Stealth,How Do You Know,Mission to Mars,The Haunting,Around the World in 80 Days,Sahara,Speed 2: Cruise Control,Collateral Damage,That's My Boy,Fool's Gold,Lady in the Water,0.009061325772439344,0.010454676552088427,0.01097816080636993,0.014245573092987018,0.016303916034245414,0.01848351828984518,0.018524744903747004,0.020687792704917385,0.02395796712573184,0.031897499220352676,"'Comedy','Drama','Romance'",'ScienceFiction',"'Horror','Thriller','Fantasy','Mystery'","'Action','Adventure','Comedy'","'Action','Adventure','Comedy','Drama','Mystery'","'Action','Adventure','Thriller'","'Action','Thriller','Drama'",'Comedy',"'Romance','Comedy','Adventure'","'Drama','Thriller','Fantasy','Mystery'",4.9,5.7,5.2,5.7,5.7,4.1,5.5,5.5,5.4,5.3,5.299999999999999,4.9
163,Watchmen,Blood Diamond,Black Hawk Down,The Curious Case of Benjamin Button,Joy,Shooter,Cloud Atlas,The Girl with the Dragon Tattoo,The Mortal Instruments: City of Bones,Silent Hill,Gangs of New York,0.006140495833473425,0.010264673200023666,0.018626424940680453,0.0197121586568878,0.021440613143711484,0.025261173657563418,0.02675793166447593,0.028589486600397507,0.028998072393297547,0.033061464452946554,"'Drama','Thriller','Action'","'Action','History','War'","'Fantasy','Drama','Thriller','Mystery','Romance'","'Drama','Comedy'","'Action','Drama','Mystery','Thriller','Crime'","'Drama','ScienceFiction'","'Thriller','Crime','Mystery','Drama'","'Action','Adventure','Drama','Mystery','Romance','Fantasy'","'Horror','Mystery'","'Drama','History','Crime'",7.3,7.2,7.3,6.4,6.9,6.6,7.2,6.2,6.3,7.1,6.85,7.0
164,Lethal Weapon 4,The Longest Yard,Robin Hood,The Perfect Storm,The Chronicles of Narnia: Prince Caspian,End of Days,Waterworld,The World Is Not Enough,Superman Returns,Eraser,Master and Commander: The Far Side of the World,0.008439944255945742,0.013659724013892371,0.015420903583502454,0.018724307019459374,0.02004162159556211,0.020288803664195054,0.02108916172053954,0.02133940595098005,0.021917380712708212,0.028911476859739382,"'Comedy','Drama'","'Action','Adventure'",'Drama',"'Adventure','Family','Fantasy'","'Action','Fantasy','Horror','Mystery'","'Adventure','Action'","'Adventure','Action','Thriller'","'Adventure','Fantasy','Action','ScienceFiction'","'Action','Drama','Mystery','Thriller'",'Adventure',6.2,6.2,6.2,6.3,5.5,5.9,6.0,5.4,5.6,6.9,6.0200000000000005,6.3
165,Hulk,The Chronicles of Narnia: Prince Caspian,Bad Boys II,Superman Returns,Robin Hood,Deep Impact,The Green Hornet,White House Down,Waterworld,The Island,Kingdom of Heaven,0.017831696427994648,0.01898167008839824,0.01908895606415395,0.020288979318070943,0.02056556357088124,0.024261098267567394,0.025694746887422237,0.025710680281828435,0.030007926684628705,0.03203979620163,"'Adventure','Family','Fantasy'","'Adventure','Action','Comedy','Thriller','Crime'","'Adventure','Fantasy','Action','ScienceFiction'","'Action','Adventure'","'Action','Drama','Romance'","'Action','Crime','Comedy'","'Action','Drama','Thriller'","'Adventure','Action'","'Action','Thriller','ScienceFiction','Adventure'","'Drama','Action','Adventure','History','War'",6.3,6.3,5.4,6.2,5.9,5.5,6.4,5.9,6.5,6.6,6.1,5.3
166,G.I. Joe: Retaliation,Click,World War Z,The Expendables 2,Charlie and the Chocolate Factory,Alien: Resurrection,X-Men: Days of Future Past,Thor: The Dark World,Salt,Snow White and the Huntsman,Lara Croft: Tomb Raider,0.004362704103991311,0.014600850850780445,0.0149519394545371,0.016663855009482198,0.016882024796251116,0.016896828859620405,0.020331578922177518,0.020852695192211668,0.02135677226143695,0.021806106286875404,"'Comedy','Drama','Fantasy','Romance'","'Action','Drama','Horror','ScienceFiction','Thriller'","'Action','Adventure','Thriller'","'Adventure','Comedy','Family','Fantasy'","'ScienceFiction','Horror','Action'","'Action','Adventure','Fantasy','ScienceFiction'","'Action','Adventure','Fantasy'","'Action','Mystery','Thriller'","'Adventure','Fantasy','Drama'","'Adventure','Fantasy','Action','Thriller'",6.0,6.7,6.1,6.7,5.9,7.5,6.8,6.2,5.8,5.7,6.34,5.4
167,Sahara,Around the World in 80 Days,Stealth,Edge of Darkness,The 6th Day,The Siege,Speed Racer,Ben-Hur,Speed 2: Cruise Control,Windtalkers,Mission to Mars,0.009837674092998738,0.016303916034245414,0.017482181277850173,0.023602510383729514,0.023614539627845654,0.024163728962222075,0.025445781513265597,0.026733038109633567,0.028665214586937382,0.028717068662541867,"'Action','Adventure','Comedy'",'Action',"'Crime','Drama','Mystery','Thriller'",'ScienceFiction',"'Drama','Action','Thriller','Crime'","'Action','Family','ScienceFiction'",'Drama',"'Action','Adventure','Thriller'","'Drama','Action','History','War'",'ScienceFiction',5.7,4.9,6.2,5.7,6.0,5.7,5.3,4.1,5.8,5.7,5.51,5.7
